ID,Name,Acronym,Category,Subcategory,Phone (raw),Phone (normalized),Phone (display),Email,Website,Address,Tags,Priority,Verified,Description,Source Note,PII Pass Notes,Created At,Updated At
cms8ta9kp007vomm1qfjmsei6,Cantor Law Group,,,,602-254-8880,6022548880,(602) 254-8880,,https://cantorlawgroup.com,"40 N Central Ave Ste 2310, Phoenix, AZ 85004","Cantor Law Group, attorney, firm",0,true,Law firm previously supplied as a possible resource.,,"Phone normalized: ""602-691-6364"" → 6026916364",2026-07-31T10:40:32.762Z,2026-07-31T10:40:32.762Z
cms8ta9kq007xomm1c17snrot,Cohen Family Law,,,,602-714-8898,6027148898,(602) 714-8898,,https://cohenfamilylaw.com,"3003 N Central Ave Ste 2606, Phoenix, AZ 85012","Cohen Family Law, attorney, firm",0,true,Family-law firm previously supplied as a possible resource.,,no changes,2026-07-31T10:40:32.763Z,2026-07-31T10:40:32.763Z
cms8ta9ku0083omm1gm45p86x,Colburn Hintze Maletta,CHM,,,602-825-2500,6028252500,(602) 825-2500,,https://chmlaw.com,"2150 E Highland Ave Ste 212, Phoenix, AZ 85016","Colburn Hintze Maletta, CHM, Arizona, attorney",0,true,Arizona law firm previously supplied as a possible resource.,,"Phone normalized: ""602-825-2500"" → 6028252500 | Website normalized: ""chmlaw.com"" → https://chmlaw.com",2026-07-31T10:40:32.766Z,2026-07-31T10:40:32.766Z
cms8ta9kx0087omm1ag6m1ats,Coolidge Law Firm,,,,480-264-5111,4802645111,(480) 264-5111,,https://coolidgelawfirmaz.com,"1820 E Ray Rd, Chandler, AZ 85225","Coolidge Law Firm, attorney, firm",0,true,Chandler law firm. Current contact information is taken from the firm's official website.,Live-verified 2026-08-03: https://coolidgelawfirmaz.com | Official firm phone 480-264-5111.,"Phone corrected: ""480-246-5111"" → 4802645111",2026-07-31T10:40:32.770Z,2026-08-03T09:16:04.317Z
cms8ta9kr007zomm1zqzjgf7v,Cordell & Cordell,,,,623-401-2002,6234012002,(623) 401-2002,,https://cordellcordell.com,"16150 N Arrowhead Fountains Center Dr Ste 135, Peoria, AZ 85382","Cordell & Cordell, fathers rights, domestic relations",0,true,Domestic-relations law firm with a focus on fathers’ rights; previously supplied as a possible resource.,,"Website normalized: ""cordellcordell.com"" → https://cordellcordell.com",2026-07-31T10:40:32.764Z,2026-07-31T10:40:32.764Z
cms8ta9ks0081omm1bckll5gv,DeShon Laraye Pullen PLC,,,,602-834-7005,6028347005,(602) 834-7005,,https://deshonpullenlaw.com,"80 E Columbus Ave, Phoenix, AZ 85012","DeShon Laraye Pullen, Arizona, family law",0,true,Arizona family and domestic-relations law firm previously supplied as a possible resource.,,"Phone normalized: ""800-409-0262"" → 8004090262",2026-07-31T10:40:32.765Z,2026-07-31T10:40:32.765Z
cms8ta9kr007yomm1tp9g6kag,Faussette & Faussette PLLC,,,,602-905-2833,6029052833,(602) 905-2833,,https://faussettelaw.com,"3800 N Central Ave Ste 615, Phoenix, AZ 85012","Faussette & Faussette, attorney, firm",0,true,Law firm previously supplied as a possible resource.,,no changes,2026-07-31T10:40:32.763Z,2026-07-31T10:40:32.763Z
cms8ta9ku0085omm1caccsd00,Frank Amar Matura,,,,602-922-9989,6029229989,(602) 922-9989,,https://famlawaz.com,"2325 E Camelback Rd Ste 400, Phoenix, AZ 85016","Frank Amar Matura, attorney, firm",0,true,Law firm previously supplied as a possible resource.,,no changes,2026-07-31T10:40:32.767Z,2026-07-31T10:40:32.767Z
cms8ta9kz0089omm1j3j0edty,Garcia Law Firm PLC,,,,602-340-1999,6023401999,(602) 340-1999,,https://bernardogarcialaw.com,"827 N 5th Ave, Phoenix, AZ 85003","Garcia Law Firm, Phoenix, attorney",0,true,Phoenix law firm previously supplied as a possible resource.,,"Phone normalized: ""602-340-1999"" → 6023401999",2026-07-31T10:40:32.772Z,2026-07-31T10:40:32.772Z
cms8ta9kx0086omm1b2oirdlv,Gurion Legal,,,,480-800-0020,4808000020,(480) 800-0020,,https://gurionlegal.com,"4323 N 12th St, Suite 100, Phoenix, AZ 85014","Gurion Legal, attorney, firm",0,true,Phoenix law firm. Current contact information is taken from the firm's official website.,Live-verified 2026-08-03: https://gurionlegal.com | Phone and Phoenix office confirmed.,no changes,2026-07-31T10:40:32.769Z,2026-08-03T09:16:04.317Z
cms8ta9ky0088omm1krysn5k0,Salwin Law Group,,,,480-702-1789,4807021789,(480) 702-1789,,https://www.salwinlaw.com,"7702 E Doubletree Ranch Rd, Ste 300, Scottsdale, AZ 85258","Salwin Law Group, attorney, firm",0,true,Law firm previously supplied as a possible resource.,,Added phone and website after live verification.,2026-07-31T10:40:32.770Z,2026-07-31T10:40:32.770Z
cms8ta9ec000uomm13ici1oaj,Arizona Counter Terrorism Information Center,ACTIC,,,602-644-5805,6026445805,(602) 644-5805,,https://azactic.gov,,"ACTIC, Arizona, intelligence center, counter terrorism",0,true,Arizona statewide intelligence and information center.,,Phone corrected to 602-644-5805; added website.,2026-07-31T10:40:32.532Z,2026-07-31T10:40:32.532Z
cms8ta9ee000womm16xkvko0i,Arizona Department of Child Safety,DCS,,,1-888-SOS-CHILD / 1-888-767-2445,8887672445,(888) 767-2445,,https://dcs.az.gov,,"Arizona DCS, child safety, SOS-CHILD, abuse hotline",0,true,Arizona child-welfare agency; operates the 1-888-SOS-CHILD abuse hotline.,,"Phone normalized: ""1-888-SOS-CHILD / 1-888-767-2445"" → 8887672445 | Website normalized: ""dcs.az.gov"" → https://dcs.az.gov",2026-07-31T10:40:32.534Z,2026-07-31T10:40:32.534Z
cms8ta9e4000nomm1p2aq943z,Bring Sean Home Foundation,,,,,,,,https://bringseanhome.org,"420 Everett Rd, Holmdel, NJ 07733","Bring Sean Home, left-behind parent, international abduction",0,true,Foundation advocating for left-behind parents in international family-abduction cases.,,Address and website updated after live verification.,2026-07-31T10:40:32.525Z,2026-07-31T10:40:32.525Z
cms8ta9ea000somm1snesv9wu,FBI Phoenix Division,FBI,,,623-466-1999,6234661999,(623) 466-1999,,https://fbi.gov,,"FBI, Phoenix, federal investigation, abduction, interstate",0,true,Federal investigative field office for Arizona covering federal crimes including abduction and interstate custody violations.,,Phone corrected to 623-466-1999.,2026-07-31T10:40:32.530Z,2026-07-31T10:40:32.530Z
cms8ta9e2000komm1oybo7jmi,MiKK International Parent Support Groups / MiPCAS,MiPCAS,,,,,,mipcas@mikk-ev.org,https://mikk-ev.org,,"MiKK, MiPCAS, international parent support, parental child abduction",0,true,Parental child abduction support for affected parents.,Previously supplied email MiPCAS@mikk-ev.org; discussed in connection with parental child abduction and support for affected parents.,"Email normalized: ""MiPCAS@mikk-ev.org"" → mipcas@mikk-ev.org",2026-07-31T10:40:32.523Z,2026-07-31T10:40:32.523Z
cms8ta9dy000fomm1k5eklxqj,NCMEC Family Abduction Legal Technical Assistance,,,,1-800-843-5678,8008435678,(800) 843-5678,gethelp@ncmec.org,https://missingkids.org,,"family abduction, legal technical assistance, wrongful taking, retention, concealment, custody deprivation",1,true,"NCMEC program providing legal technical assistance for family abduction — the wrongful taking, retention, or concealment of a child by a parent or family member that deprives another person of custody or visitation.",Strongest-five match #1. Request explicitly by name: “Family Abduction legal technical assistance.”,"Phone normalized: ""1-800-843-5678"" → 8008435678 | Website normalized: ""missingkids.org"" → https://missingkids.org",2026-07-31T10:40:32.518Z,2026-07-31T10:40:32.518Z
cms8ta9e0000homm1t4lq14ub,NCMEC Team HOPE,,,,866-305-HOPE / 866-305-4673,8663054673,(866) 305-4673,,https://missingkids.org,,"Team HOPE, peer support, emotional support, missing children, family abduction",0,true,Peer and emotional support for families dealing with missing children or family abduction.,Previously described as peer and emotional support for families dealing with missing children or family abduction.,"Phone normalized: ""866-305-HOPE / 866-305-4673"" → 8663054673 | Website normalized: ""missingkids.org"" → https://missingkids.org",2026-07-31T10:40:32.521Z,2026-07-31T10:40:32.521Z
